key,band,budget,p0,tau0,evd,evj,mvd,mvj,cvd,cvj
KXBRENTMON-26MAY2917-T108.99,30.0,0.04750000000000004,0.95,27.0,0.0003999999999999982,0.44390000000000013,0.0009410697889943913,0.34961402703803723,0.0007955765646092364,0.27578162771853165
KXBRENTMON-26MAY2917-T108.99,14.0,0.21,0.3,14.0,9.99999999999999e-05,0.14370000000000002,0.0004829060822662372,0.29616073362061374,0.0003055355944831654,0.28077131247928705
KXBRENTMON-26MAY2917-T108.99,7.0,0.2244,0.34,7.0,9.99999999999999e-05,0.0487,0.00024153563741285202,0.28842459726425557,0.00015530919498330038,0.25300295106801196
KXBRENTMON-26MAY2917-T108.99,3.0,0.0736,0.08,3.0,9.99999999999999e-05,0.008900000000000002,6.525905683020155e-05,0.08734528935763856,5.7452053940176976e-05,0.10653140886237607
KXMAKEMARMAD-26-UNM,14.0,0.25,0.5,13.958333333333334,2.50000000000006e-05,0.676725,0.0004842751668616401,0.3694192612373155,0.0003137093300412018,0.30322488388394897
KXMAKEMARMAD-26-UNM,7.0,0.2331,0.37,6.958333333333334,0.0,0.3063000000000001,0.00023328474789837802,0.2942015788528643,0.0001309794452866355,0.2576029487684127
KXMAKEMARMAD-26-UNM,3.0,0.16000000000000003,0.2,3.0,0.0,0.0606,8.661216288663901e-05,0.22273982254525448,5.958127986286223e-05,0.17637010586810412
KXTOPSONG-26JUN13-JAN,14.0,0.1131,0.13,10.0,0.00010000000000000005,0.005999999999999999,0.00033341412801228494,0.1863005097439701,0.0003307196771816625,0.18408176266282134
KXTOPSONG-26JUN13-JAN,7.0,0.1056,0.12,7.0,0.00010000000000000005,0.003499999999999999,0.00022883931130604731,0.149982034019913,0.00020326596861630937,0.15929944103063545
KXARMOMINF-26AUG13-T2.0,30.0,0.2436,0.42,28.0,0.0006750000000000005,0.735975,0.0010192344110111873,0.3904946629595885,0.0008185455621292914,0.3095830916055142
KXARMOMINF-26AUG13-T2.0,14.0,0.2379,0.39,14.0,0.00045000000000000004,0.66205,0.0004801315228943511,0.33842039438324223,0.00033676636415340394,0.27464171002689364
KXARMOMINF-26AUG13-T2.0,3.0,0.1539,0.19,3.0,0.0,0.6064999999999999,7.93679621357054e-05,0.21104878869973034,5.6790118910629556e-05,0.16736356087783177
KXBAFTADIR-26-CHL,30.0,0.0979,0.11,30.0,0.00039999999999999996,0.17775,0.0011055531606522747,0.259056058173591,0.0009123623977709333,0.23389278282352166
KXBAFTADIR-26-CHL,14.0,0.0819,0.09,14.0,0.0002500000000000002,0.037799999999999986,0.000489116447105314,0.1710264942259746,0.0004079662074087377,0.1783735677887722
KXBAFTADIR-26-CHL,3.0,0.0475,0.05,3.0,0.0,0.0013000000000000002,7.037085051932095e-05,0.09828150136190494,6.527247955339227e-05,0.09901728457686775
KXPCECORE-25FEB-T0.3,30.0,0.09000000000000001,0.1,26.958333333333332,0.0017499999999999927,0.3468,0.0009041457165528063,0.28247569691733143,0.0008445354442409347,0.2054830466963227
KXPCECORE-25FEB-T0.3,14.0,0.2496,0.48,13.999999999999998,0.0016749999999999931,0.264525,0.0005205279534220053,0.3246872230046747,0.00028829761038629215,0.283672697624646
KXPCECORE-25FEB-T0.3,7.0,0.2475,0.55,7.0,0.0009749999999999983,0.260725,0.00020936121743957614,0.30935603169913856,0.00012984849022459346,0.27871390386363054
KXPCECORE-25FEB-T0.3,3.0,0.25,0.5,3.0,0.000550000000000001,0.2601,8.781829215066009e-05,0.2710824659490216,4.561448944058761e-05,0.24461134444386012
KXNFLCPOTY-26-CMCC,30.0,0.1056,0.88,30.0,0.0018999999999999857,0.005300000000000001,0.001055761919865313,0.3593282832091637,0.000805785172449551,0.3296237892416704
KXNFLCPOTY-26-CMCC,14.0,0.07360000000000005,0.9199999999999999,14.0,0.0008999999999999904,0.002900000000000005,0.0004576554003907784,0.2346329541693631,0.0003428715210040492,0.21825415923270833
KXNFLCPOTY-26-CMCC,7.0,0.08189999999999997,0.91,7.0,0.0005999999999999877,0.002900000000000005,0.0002088470752671382,0.23914171549927685,0.0001905465601996926,0.17155041154670145
KXNFLCPOTY-26-CMCC,3.0,0.06509999999999996,0.93,3.0,0.0005999999999999877,0.0025000000000000044,9.799197160213359e-05,0.18986258462245784,9.680271709673155e-05,0.10582199212851934
KXSNOWNYM-25JAN-T8.0,30.0,0.1875,0.25,30.0,0.0006,0.11789999999999998,0.0011004873650386775,0.3102996877842811,0.0009396460858615691,0.2760570600991169
KXSNOWNYM-25JAN-T8.0,14.0,0.19240000000000002,0.26,14.0,0.00010000000000000018,0.052899999999999996,0.0005086139665783584,0.31091406011711714,0.0003966617249982622,0.2469470669371953
KXALBUMEQUIV-DAU26JUL23-75K,30.0,0.24189999999999998,0.5900000000000001,30.0,0.0003250000000000006,1.2826249999999997,0.0010869115919955445,0.42345459693571913,0.0008363279637887575,0.33204256102266716
KXALBUMEQUIV-DAU26JUL23-75K,14.0,0.14760000000000004,0.82,14.0,0.0,1.2372999999999996,0.0004956109930110264,0.2878431346653202,0.0003704536154949685,0.2513692345288082
KXALBUMEQUIV-DAU26JUL23-75K,7.0,0.17159999999999997,0.78,7.0,0.0,1.2023999999999997,0.0002551630413611549,0.28088725084562843,0.0001688023235954805,0.21766350199435702
KXALBUMEQUIV-DAU26JUL23-75K,3.0,0.14760000000000004,0.82,3.0,0.0,1.1649999999999998,9.129475178247657e-05,0.21215924270824785,6.527227347706999e-05,0.18437044459438431
KXXRPMAXMON-XRP-26FEB28-200,30.0,0.20589999999999997,0.29,25.0,0.0006999999999999995,0.081,0.0009398797260458352,0.34453468728478726,0.000707163762258067,0.2818442064693223
KXXRPMAXMON-XRP-26FEB28-200,14.0,0.0819,0.09,14.0,0.0002999999999999998,0.018400000000000003,0.0004417509727054499,0.19202267903500062,0.0003749140422454167,0.16763787169196095
KXTOPMONTHLY-26MAY-DRA,30.0,0.0736,0.08,29.0,0.001699999999999999,0.06249999999999999,0.0009895733274757812,0.29371802132386754,0.0008783645194223,0.20071003252767344
KXTOPMONTHLY-26MAY-DRA,14.0,0.0651,0.07,14.0,0.0009999999999999994,0.0020999999999999994,0.00046843374380180685,0.1687802450508331,0.0004119072877977585,0.14815914744816563
HAPPIER-21AUG12-T200,7.0,0.09000000000000001,0.1,5.0,0.0002000000000000002,0.0036,0.00012403502634400154,0.13815077391560998,0.00010982204953673084,0.13427033390186596
HAPPIER-21AUG12-T200,3.0,0.0475,0.05,3.0,0.0001,0.002,7.69894105965662e-05,0.06699718254398998,6.722367433899056e-05,0.09371840714711879
KXNFLDRAFTTOP-26-R1-KCON,30.0,0.22897500000000004,0.6449999999999999,26.0,0.0005249999999999931,0.2451499999999998,0.0009484715590925813,0.39459869872622844,0.0007069419122653344,0.3342387846825992
KXNFLDRAFTTOP-26-R1-KCON,14.0,0.1875,0.75,14.0,0.00039999999999999183,0.09609999999999999,0.0005119824190852692,0.31125509478374536,0.0003715252681923893,0.2729546830797675
KXNFLDRAFTTOP-26-R1-KCON,7.0,0.14110000000000003,0.83,7.0,0.0,0.060700000000000066,0.00025044016783174914,0.24283248167183114,0.0001956365601585324,0.2158215585152571
KXNFLDRAFTTOP-26-R1-KCON,3.0,0.1476000000000001,0.8199999999999998,3.0,0.0,0.051800000000000006,0.00011262140612057543,0.21603197096183732,5.546165320674828e-05,0.18621355683009042
KXNETFLIXRANKMOVIE-26FEB23-HOW,7.0,0.1875,0.25,5.0,0.0001,0.060200000000000004,0.00016535517944843536,0.25036062014816385,9.414128014367157e-05,0.22690388826170718
KXTSAW-24DEC29-A2.55,7.0,0.1875,0.75,5.0,0.0,0.15229999999999996,0.0001686778485507646,0.23874025527559492,0.00011211728499901287,0.22816876226785304
KXTSAW-24DEC29-A2.55,3.0,0.17709999999999998,0.77,3.0,0.0,0.14889999999999995,8.996545552308094e-05,0.2524842946893029,5.0350704330900736e-05,0.20353575534829532
KXNETFLIXRANKSHOWGLOBAL-26AUG10-THE,7.0,0.1344,0.16,5.0,0.0,0.6842,0.00018186662431559427,0.18998171685802034,0.00013036958744047045,0.1679448382337821
KXNETFLIXRANKSHOWGLOBAL-26AUG10-THE,3.0,0.2356,0.62,3.0,0.0,0.05819999999999999,7.788417595852413e-05,0.2857727021552651,3.9450088656058525e-05,0.24693462362415736
KXLEADERNBAREB-26-VWEM,30.0,0.069375,0.075,30.000000000000014,0.0007999999999999998,0.017125,0.0011001595886106976,0.2656453287432936,0.000943103864672131,0.2133945398028086
KXLEADERNBAREB-26-VWEM,7.0,0.0475,0.05,7.0,5e-05,0.0017000000000000001,0.00019842167983656143,0.10436824563141217,0.00017317867316307066,0.11042571772955827
KXCPICORE-25AUG-T0.3,30.0,0.24097499999999997,0.40499999999999997,30.0,0.0006250000000000011,0.1779,0.0010901241395738827,0.4309386546194372,0.0008699136223995638,0.32197448519526545
KXCPICORE-25AUG-T0.3,14.0,0.21389999999999998,0.31,14.0,0.00012500000000000022,0.13712500000000002,0.00046811648785476307,0.3397106752739198,0.000342529515821956,0.270751264181609
KXCPICORE-25AUG-T0.3,7.0,0.2379,0.39,7.0,0.00010000000000000018,0.12760000000000002,0.00021078524486540877,0.29551742101384,0.0001553740741854577,0.2673237961748801
KXCPICORE-25AUG-T0.3,3.0,0.2304,0.36,3.0,0.0,0.10980000000000002,7.593209355649735e-05,0.25742284307087093,4.285142504924242e-05,0.24523670690965604
KXU3-25OCT-T4.4,30.0,0.16000000000000003,0.2,30.041666666666668,0.0003500000000000007,0.18745,0.0011704911951457566,0.3328350932986631,0.0009907268250951406,0.2917017602097791
KXU3-25OCT-T4.4,14.0,0.2356,0.38,14.041666666666668,0.00025000000000000044,0.17795,0.0005500854843310961,0.3232682442429762,0.0003629716238363114,0.2830868944838467
KXU3-25OCT-T4.4,7.0,0.1875,0.25,7.041666666666668,0.00015000000000000026,0.16375,0.0002549425907148139,0.27263274006416827,0.0001845293748226541,0.24056841864016804
KXU3-25OCT-T4.4,3.0,0.1875,0.25,3.0,2.5000000000000045e-05,0.160025,0.00010974100637640191,0.22093481074310006,5.874136418268793e-05,0.2097944749165416
INXY-23DEC29-B4400,30.0,0.20589999999999997,0.29,30.0,0.0006000000000000006,0.06505,0.0011262588775618606,0.3673236271510898,0.0008825289793957664,0.29801035200148995
INXY-23DEC29-B4400,14.0,0.1659,0.21,14.0,0.00030000000000000003,0.05274999999999999,0.000489749078523097,0.30213091199291675,0.00037383693991827364,0.24670922107717
KXWTIW-26JUL0214-B67.50,7.0,0.0736,0.08,5.0,0.0002999999999999997,0.2153,0.00011915441102268817,0.1286005607881184,0.0001092538926978075,0.13230974812538052
KXWTIW-26JUL0214-B67.50,3.0,0.0736,0.08,3.0,9.99999999999999e-05,0.2153,4.9689157304410815e-05,0.11020579204234714,5.495181824915068e-05,0.10876370471416955
KXGAMEAWARDSBP-2025-BEN,30.0,0.2244,0.34,21.0,0.0007500000000000004,0.9825499999999998,0.0007724686257131499,0.3761608724064916,0.0005622067188530655,0.2889730131805159
KXGAMEAWARDSBP-2025-BEN,14.0,0.17159999999999997,0.21999999999999997,14.0,0.0007500000000000004,0.10129999999999999,0.000499879980699655,0.28277709017136365,0.0003495097839077763,0.21567049713668573
KXGAMEAWARDSBP-2025-BEN,7.0,0.222775,0.33499999999999996,7.0,0.0004250000000000008,0.0867,0.00025625149454876884,0.26802949068188797,0.0001306666937772367,0.24708857334532527
KXGAMEAWARDSBP-2025-BEN,3.0,0.21389999999999998,0.31,3.0,0.00010000000000000018,0.0842,7.169266416797479e-05,0.2404651720040492,6.318601497762767e-05,0.24127770433172827
KXTOPMODEL-25NOV-GE25P,30.0,0.25,0.5,19.0,0.00030000000000000003,0.30569999999999997,0.0007011694635657201,0.3477204193409093,0.0004761347691800851,0.29463400037383375
KXTOPMODEL-25NOV-GE25P,14.0,0.1716,0.22,14.0,0.00030000000000000003,0.13949999999999999,0.00046337174173767136,0.2758715281963235,0.00040360378528377956,0.22482158202913274
KXGRAMMYNOMROTY-68-ABRA,30.0,0.15999999999999998,0.8,30.041666666666657,0.0005749999999999933,0.03287500000000001,0.0011739393932962022,0.3793672435246607,0.00090126864758266,0.31637319964886584
KXGRAMMYNOMROTY-68-ABRA,14.0,0.13440000000000002,0.84,14.041666666666657,0.0004999999999999943,0.03165000000000001,0.0004570159918128136,0.3124401734987524,0.0003931200829024096,0.23937029216967937
KXGRAMMYNOMROTY-68-ABRA,7.0,0.1056,0.88,7.041666666666657,0.00039999999999999183,0.021000000000000026,0.00022994848329000882,0.24596807605258797,0.0002188210851727509,0.15350701073419304
KXGRAMMYNOMROTY-68-ABRA,3.0,0.14110000000000003,0.83,3.0,0.0,0.014899999999999998,8.835955994966206e-05,0.22638034988508238,6.043431762574495e-05,0.1722083476349263
KXNBATOPPICK-26-IND,30.0,0.12040000000000001,0.14,29.999999999999993,0.0011999999999999988,0.023000000000000007,0.001077692478267793,0.31341235972183457,0.0009976551349210167,0.23348952462381825
KXNBATOPPICK-26-IND,14.0,0.1275,0.15,14.0,0.0005000000000000003,0.019600000000000003,0.0005384044668455403,0.20422940907460396,0.0004394584995179657,0.1849113351491856
KXNBATOPPICK-26-IND,7.0,0.12040000000000001,0.14,7.0,0.00020000000000000036,0.019600000000000003,0.0002529875809855418,0.1810914937319631,0.00018505773699665045,0.17960265883469018
KXNBATOPPICK-26-IND,3.0,0.12040000000000001,0.14,3.0,0.0,0.019600000000000003,0.00010532845218185334,0.15915942633088792,7.201262455041932e-05,0.1419978142627576
KXNFLWINS-BAL-25B-T9,30.0,0.24,0.6,30.0,0.00042500000000000057,0.9044749999999999,0.001140560298905407,0.4197066171438968,0.0008497478950453691,0.33766592026600534
KXNFLWINS-BAL-25B-T9,14.0,0.05639999999999999,0.06,14.0,0.00022500000000000026,0.608625,0.000445653645934565,0.16444109070112997,0.0003789884892865766,0.13802183995757616
KXNFLWINS-BAL-25B-T9,7.0,0.1716,0.22,7.0,0.00010000000000000018,0.5195,0.0002242526481141658,0.246270729439868,0.00016415968247766733,0.2075880381518619
KXNFLWINS-BAL-25B-T9,3.0,0.16000000000000003,0.2,3.0,0.0,0.5105999999999999,0.00010461417394308033,0.2199655283848908,3.910554635349277e-05,0.16999721260664058
