key,band,budget,p0,tau0,evd,evj,mvd,mvj,cvd,cvj
sim3,30.0,0.20510675737154827,0.7118802554001947,30.0,0.0019543106973494775,0.08369550411601835,0.001008211103459103,1.043745251163517,0.0009890118697252223,0.31427104496712016
sim6,30.0,0.21800356591421782,0.32112452911094214,30.0,0.0007011707845869178,0.3551289476858083,0.0009546255470343468,1.1977978609453854,0.001050920611357103,0.30457930103486514
sim6,14.0,0.24925127283029075,0.5273628794118831,14.0,0.00019260566073636231,0.3150586551505243,0.0004618874665850396,0.5641379203806074,0.0003032489381525628,0.2982738652643804
sim6,7.0,0.20848830035098223,0.7037442015101725,7.0,0.0,0.28105246569712067,0.00025058786487067316,0.5212034460228153,0.0001272006324362706,0.27860757724432456
sim6,3.0,0.24618467083444898,0.5617683508404671,3.0,0.0,0.1722217226039516,0.00010495430648684256,0.37770347697437456,2.289272779186364e-05,0.26027787174204353
sim11,30.0,0.22730593943313365,0.6506454797425609,30.0,0.00014173659352477664,0.6048006504158219,0.0009823528602789598,1.0414196754225247,0.0009855530447786297,0.32123897712034166
sim11,14.0,0.1562152133667107,0.1937569810864429,14.0,0.00011073926255718938,0.4641679625767747,0.00046341032019482924,0.7580334365945831,0.00047556735532694705,0.24952077413262486
sim11,7.0,0.24934288167026208,0.47436568062659107,7.0,0.0,0.2737298496521178,0.00022604499641128744,0.5169873230569934,0.00013105847897380233,0.27876122790858643
sim11,3.0,0.2347679478308427,0.6234182003156638,3.0,0.0,0.15285198914916834,0.00011818309572654135,0.40200739601237456,3.689767116021094e-05,0.2648698860187186
sim13,30.0,0.08419878036158329,0.09281304092785989,30.0,0.002172494481339372,0.012483839467457713,0.000916377604301576,1.078384231935065,0.0015059091157356877,0.21671503579142112
sim14,30.0,0.24620773097215293,0.5615814016391888,30.0,0.0008896038043938526,0.09398372130671459,0.0009603011499821603,0.9798065694030461,0.0009040903251361265,0.338291915504892
sim14,14.0,0.11237175684571296,0.8709828070871843,14.0,0.0008877998629603819,0.0078030863060883525,0.0004562841431330327,0.6189996747133955,0.0005359704712009515,0.2020909700781074
sim16,30.0,0.0784544565770838,0.08581943137936057,30.0,0.0012401166086741392,0.030628848506265207,0.0009236475256077489,0.8703977277178638,0.0016253202592067912,0.19208445810024422
sim16,14.0,0.08600894807004501,0.09504191336638926,14.0,0.000725303152161726,0.004001017411352861,0.00042296150223970037,0.6944739494150548,0.000614338995878951,0.18424755212713484
sim17,30.0,0.21423510801562481,0.31088391928665826,26.0,0.0010037068927584041,0.2521165599861096,0.0007973184070402503,1.1392748510513797,0.0008606564795076011,0.3242745101711506
sim17,14.0,0.24851459510115093,0.46145904906662183,14.0,0.0002530353631553,0.21427901286176024,0.00046896921025858606,0.808866780024244,0.00030915499643200864,0.2968655295652358
sim17,7.0,0.21711073456115845,0.6813539782823679,7.0,3.683641084726937e-05,0.17939902158652596,0.0002165959043444444,0.5817680287512518,0.00013554231583752058,0.26705356709379535
sim19,30.0,0.2482585755024596,0.5417303785933028,30.0,0.000605343040488549,0.18238850857158892,0.0010117102521189068,1.0903988569118988,0.0009129746069067085,0.3538215261389399
sim19,14.0,0.16889205821021067,0.2152054393254862,14.0,8.741062233975608e-07,0.10812846849674676,0.00044724252596768427,0.7115805127899631,0.0004221724214440203,0.2618065050244373
