pair_id,ss_k,ss_pm,p0_k,p0_pm,n,bud_k,bud_pm,ratio_k,ratio_pm,ratio_of_ratios,domain,unit,quality
0,0.5796,0.35355625,0.13,0.14,25,0.1131,0.12040000000000001,5.1246684350132625,2.9365137043189367,1.7451539311653996,btc_monthly,APR26-80000,exact
1,0.0353,0.03023375,0.36,0.325,22,0.2304,0.21937500000000001,0.15321180555555555,0.1378176638176638,1.1116993374540043,btc_monthly,FEB26-80000,exact
2,0.07039999999999999,0.07480525,0.51,0.535,24,0.2499,0.248775,0.2817126850740296,0.30069440257260577,0.9368737251635642,btc_monthly,FEB26-85000,exact
3,0.1952,0.17355475,0.53,0.475,26,0.2491,0.24937499999999999,0.7836210357286232,0.6959588972431079,1.1259587869811998,btc_monthly,JAN26-100000,exact
4,0.4334,0.53755125,0.31,0.3,30,0.21389999999999998,0.21,2.026180458158018,2.5597678571428575,0.7915485197238099,btc_monthly,JUL26-67500,exact
5,0.17719999999999997,0.16066875000000003,0.15,0.16,31,0.1275,0.1344,1.389803921568627,1.1954520089285716,1.1625760893691115,btc_monthly,MAR26-80000,exact
6,0.16430000000000003,0.17738675000000004,0.4,0.395,31,0.24,0.238975,0.6845833333333334,0.7422816194162571,0.9222690087243456,btc_monthly,MAY26-85000,exact
7,0.01865,0.033204750000000005,0.17,0.135,31,0.1411,0.116775,0.13217576187101346,0.2843481053307643,0.4648378497801548,btc_monthly,MAY26-90000,exact
8,0.2775,0.22960524999999996,0.7,0.755,156,0.21000000000000002,0.184975,1.3214285714285714,1.2412771996215701,1.0645716942447965,btc_yearly,Y25-130000,approx
9,0.13014999999999996,0.14386575000000001,0.5,0.495,146,0.25,0.249975,0.5205999999999998,0.5755205520552056,0.9045723877990415,btc_yearly,Y25-140000,approx
10,0.31089999999999995,0.22638125000000003,0.26,0.545,367,0.19240000000000002,0.247975,1.6159043659043655,0.9129196491581814,1.7700400767958255,btc_yearly,Y25-150000,approx
11,0.054599999999999996,0.01606825,0.18,0.195,146,0.1476,0.156975,0.36991869918699183,0.10236184105749323,3.6138339772456893,btc_yearly,Y25-170000,approx
12,0.29315,0.04910375,0.49,0.215,360,0.2499,0.168775,1.1730692276910764,0.29094208265442156,4.0319682082032715,btc_yearly,Y25-200000,approx
13,0.1295,0.01613975,0.09,0.165,331,0.0819,0.137775,1.5811965811965811,0.11714570858283434,13.4976910407137,btc_yearly,Y25-250000,approx
14,0.052750000000000005,0.25938025,0.06,0.47,134,0.05639999999999999,0.2491,0.9352836879432627,1.041269570453633,0.8982147509945987,election,NYC25-Cuomo,approx
15,0.06565000000000003,0.20933025000000005,0.91,0.095,195,0.08189999999999997,0.08597500000000001,0.8015873015873022,2.434780459435883,0.3292236466252168,election,NYC25-Mamdani/D,approx
16,0.01585,0.0018165,0.09,0.0335,195,0.0819,0.032377750000000004,0.19352869352869354,0.05610334257321771,3.4495038023114,election,NYC25-Sliwa/R,approx
