domain,unit,k_key,pm_key,k_vol,pm_vol,quality
btc_monthly,APR26-80000,KXBTCMAXMON-BTC-26APR30-8000000,22893138393795740138249503228269517733051888602506683062209713465144747482167,897107.59,8689741.495558972,exact
btc_monthly,FEB26-80000,KXBTCMAXMON-BTC-26FEB28-8000000,115716410038051954858122996383598541941611892010761741648786542765667470135972,1233431.0,4831697.133881,exact
btc_monthly,FEB26-85000,KXBTCMAXMON-BTC-26FEB28-8500000,16393551545749826032099527282824025354814839232380838180410593285887081984932,305168.0,7551511.585962,exact
btc_monthly,JAN26-100000,KXBTCMAXMON-BTC-26JAN31-100000,103177127930055330392441373349372732434896433945295434937281341249293735506094,769705.0,13025594.701676,exact
btc_monthly,JUL26-67500,KXBTCMAXMON-BTC-26JUL31-6750000,70060007759742302808850203923230495967841006347410479320265457231119910877637,1799444.08,3210203.6827859995,exact
btc_monthly,MAR26-80000,KXBTCMAXMON-BTC-26MAR31-8000000,89985317983195116196847912662733840736741033181969862249321821942712441807494,474065.0,8681375.204627028,exact
btc_monthly,MAY26-85000,KXBTCMAXMON-BTC-26MAY31-8500000,27263818818572382308786837280052567231404272927433091805576135922512093801450,776570.28,5177595.545592992,exact
btc_monthly,MAY26-90000,KXBTCMAXMON-BTC-26MAY31-9000000,82333550650994719016339808110389313847426073918923886033931546451300666500527,259986.13,3784409.6129529965,exact
btc_yearly,Y25-130000,KXBTCMAXY-25-DEC31-129999.99,70455106433105725093003807079135685186309776081399075740142938507518314484366,10845291.0,13211425.234841,approx
btc_yearly,Y25-140000,KXBTCMAXY-25-DEC31-139999.99,31708710617182893420436057149289712855851004287900968100076957544813460654120,5186797.0,8804123.733621,approx
btc_yearly,Y25-150000,KXBTCMAXY-25-DEC31-149999.99,87484108660213248881541352117231933897620313251765619093583161767567942237143,4674502.0,16414060.383217,approx
btc_yearly,Y25-170000,KXBTCMAXY-25-DEC31-169999.99,54897787457036657865994456184914764553135864680096835028443076525607070890895,885155.0,7721957.288049,approx
btc_yearly,Y25-200000,KXBTCMAXY-25-DEC31-199999.99,85949163243245471221790979452091560100141884930227668573477517865165344048388,2079099.0,19275707.736605,approx
btc_yearly,Y25-250000,KXBTCMAXY-25-DEC31-249999.99,15600657178409553723631854347165934450743544837722869853285023214749561849304,705078.0,15857522.578687,approx
election,NYC25-Cuomo,KXMAYORNYCPARTY-25-AC,72685162394098505217895638060393901041260225434938300730127268362092284806692,53423150.0,48755937.180665,approx
election,NYC25-Mamdani/D,KXMAYORNYCPARTY-25-D,33945469250963963541781051637999677727672635213493648594066577298999471399137,48713982.0,143254859.334333,approx
election,NYC25-Sliwa/R,KXMAYORNYCPARTY-25-R,106645483208866512069057468273735379467092160028743318106715987586591689242591,11492105.0,60402049.764981,approx
election,POPVOTE24-D,POPVOTE-24-D,21271000291843361249209065706097167029083067325856089903026951915683588703117,45192568.0,163779786.645492,exact
election,POPVOTE24-R,POPVOTE-24-R,42699080635179861375280720242213672850141860123562672932351602811041149946128,36740947.0,119932620.818624,exact
election,PRES24-Harris,PRES-2024-KH,69236923620077691027083946871148646972011131466059644796654161903044970987404,273312857.0,1037039118.18879,exact
election,PRES24-Trump,PRES-2024-DJT,21742633143463906290569050155826241533067272736897614950488156847949938836455,262334207.0,1531479284.504353,exact
fed_chair_nom,Arthur Laffer,KXFEDCHAIRNOM-29-AL,102110965054889141204087078786638995691907331207010422719821820828048023654600,242929.0,21154894.068664,exact
