pi,ti,p_bucket,tau_band,n,n_mkts,still_frac,excess_still,kurt_z,jump_share,ratio_fit,budget_share,regime
0,0,"[0.00,0.05)","[1,3)d",672,433,0.4419642857142857,0.29350042127966663,233.90797647958848,0.0,4.301244009761289,0.003204993926278374,3
0,1,"[0.00,0.05)","[3,7)d",1500,547,0.626,0.3839963982428243,161.36587596350114,0.8286070352719714,31.15127057458011,0.030183198427537573,2
0,2,"[0.00,0.05)","[7,14)d",2904,626,0.7090220385674931,0.35109208198793657,1020.3910274902441,0.36686609242317936,3.8915203987203992,0.004606218949271477,2
0,3,"[0.00,0.05)","[14,30)d",6766,726,0.7694354123558972,0.2975611968671621,1011.9600769016979,0.08410900153493928,1.5480512417535213,0.00313089713398051,3
0,4,"[0.00,0.05)","[30,90)d",23211,906,0.851234328551118,0.19620331853923734,5332.652249408394,0.14867793319164935,1.4657646336534689,0.005623711266458085,3
0,5,"[0.00,0.05)","[90,inf)d",49480,872,0.905860953920776,0.08580754623290032,3351.931971285141,0.36381833285996434,1.528191072593628,0.00718552996965259,3
1,0,"[0.05,0.15)","[1,3)d",372,246,0.22311827956989247,0.19118589605765673,56.687277066189395,0.0,2.871023068875303,0.01088110102207583,3
1,1,"[0.05,0.15)","[3,7)d",1004,404,0.28087649402390436,0.22665328664703163,44.98744380212615,0.19616995355019573,5.524843712148291,0.03310167161461775,3
1,2,"[0.05,0.15)","[7,14)d",1632,421,0.31862745098039214,0.23879071209850591,96.36204382137912,0.3040319851341282,2.0127336350495435,0.014739027040107062,3
1,3,"[0.05,0.15)","[14,30)d",3650,521,0.38136986301369863,0.2642315089449858,313.6431242918358,0.30758997803065735,1.3248707273415592,0.015029869876741543,3
1,4,"[0.05,0.15)","[30,90)d",12127,636,0.492867155933042,0.2957111027161364,76.21646960380026,0.18461433853733122,0.7841767124801285,0.015604509762040869,3
1,5,"[0.05,0.15)","[90,inf)d",27409,579,0.6454084424823963,0.31040765759652267,229.34861400051943,0.23566499414346775,0.8000022412318836,0.017739670493251605,2
2,0,"[0.15,0.30)","[1,3)d",465,275,0.23655913978494625,0.22026641494173876,10.997037441408382,0.0,2.1556781656866093,0.03205228548884829,1
2,1,"[0.15,0.30)","[3,7)d",1069,453,0.284377923292797,0.25572136401373724,21.25763001497923,0.3698531221100695,2.088796769379893,0.04046303102958203,1
2,2,"[0.15,0.30)","[7,14)d",1576,414,0.31281725888324874,0.2697030639403068,39.755398123569684,0.16851273203810602,1.0994554345211884,0.02104372686691592,3
2,3,"[0.15,0.30)","[14,30)d",3545,509,0.2899858956276446,0.22745649600035467,45.82986388114087,0.2175687561379318,1.0045618549340682,0.027757426250582466,3
2,4,"[0.15,0.30)","[30,90)d",8724,539,0.3022696011004127,0.20162280123814647,67.14483978587707,0.2568275293700626,0.7235511711791034,0.029957410687218265,3
2,5,"[0.15,0.30)","[90,inf)d",14086,422,0.40146244498083206,0.21486035977012297,35.939275102345306,0.2551053396176701,1.0291528581458032,0.03384574327797159,3
3,0,"[0.30,0.45)","[1,3)d",614,371,0.15798045602605862,0.14523554997459998,4.912485099261133,0.0,1.4655586883822922,0.04485669110779589,1
3,1,"[0.30,0.45)","[3,7)d",1333,537,0.2175543885971493,0.19544224051250836,14.38988449188545,0.3297270534920882,0.970726111782236,0.03663898632568421,1
3,2,"[0.30,0.45)","[7,14)d",1322,373,0.23600605143721634,0.20299002704351665,12.72328127798303,0.2131294358427468,0.7799210464299534,0.01899898503456182,1
3,3,"[0.30,0.45)","[14,30)d",2372,403,0.2525295109612142,0.20413820395359655,13.511242152145051,0.15556764261794154,0.9435662757086934,0.02844398628990749,1
3,4,"[0.30,0.45)","[30,90)d",5066,453,0.22601658112909592,0.14870010731550984,16.580034590690847,0.32624693920035086,0.9077549984011389,0.035697560047148684,1
3,5,"[0.30,0.45)","[90,inf)d",8619,285,0.3045596936999652,0.16214971831267547,21.34219125205363,0.34658834534647354,1.1473265667887893,0.03781355734679243,1
4,0,"[0.45,0.55)","[1,3)d",565,343,0.1911504424778761,0.17905920969540512,4.92694181464454,0.0,1.2516456288324673,0.03892833321310433,1
4,1,"[0.45,0.55)","[3,7)d",1153,480,0.23243712055507373,0.2113365505838228,10.691323654046986,0.19341040236709373,0.5519292984004935,0.019404150483150917,1
4,2,"[0.45,0.55)","[7,14)d",1021,321,0.31341821743388837,0.28210835924997424,9.517220100957472,0.2783383658663804,0.5680262145396823,0.012434350506216902,1
4,3,"[0.45,0.55)","[14,30)d",1499,276,0.31754503002001333,0.2717741065693198,13.402535076621675,0.19136021545198478,0.9017980383517827,0.01873919899197752,1
4,4,"[0.45,0.55)","[30,90)d",2962,441,0.2521944632005402,0.1816354166151776,22.257224482880016,0.49975942738990686,1.3711657956724974,0.04309596446495974,1
4,5,"[0.45,0.55)","[90,inf)d",5205,261,0.4051873198847262,0.2658233061052224,42.860583430604365,0.7378947320273106,2.483261191020697,0.05245106583509335,3
5,0,"[0.55,0.70)","[1,3)d",608,366,0.1875,0.17477234027469327,4.241322689725679,0.0,1.6724419008653388,0.05067559998036293,1
5,1,"[0.55,0.70)","[3,7)d",1265,497,0.24031620553359684,0.21825546118019393,11.072496990651567,0.12058720548316315,0.6520723593802569,0.02320633004061953,1
5,2,"[0.55,0.70)","[7,14)d",1162,331,0.28657487091222034,0.2538041225934765,12.259676999544851,0.3572101435324807,0.8678289445383266,0.01911065440739935,1
5,3,"[0.55,0.70)","[14,30)d",1566,276,0.2656449553001277,0.21742148689557192,12.259510172797414,0.18461345411294072,0.9034734019623165,0.018326191460512026,1
5,4,"[0.55,0.70)","[30,90)d",3567,282,0.248107653490328,0.17217958028608107,19.99975541783488,0.29580894291834314,0.8945150149934223,0.02552986428571068,1
5,5,"[0.55,0.70)","[90,inf)d",4304,161,0.333410780669145,0.1895993021767178,36.474204141943005,0.40985355114302957,1.1095306582554954,0.017905682469072627,3
6,0,"[0.70,0.85)","[1,3)d",296,182,0.14527027027027026,0.1292409303407224,9.275942247470786,0.0,2.454207869123324,0.023881341380009285,1
6,1,"[0.70,0.85)","[3,7)d",582,258,0.211340206185567,0.18375634613735947,21.311065793827968,0.4285202114106842,1.3063514767909676,0.014156913487594366,1
6,2,"[0.70,0.85)","[7,14)d",680,190,0.23823529411764705,0.1969785388574718,12.098777299274412,0.19493817741230723,0.992260827304412,0.00824692773872337,1
6,3,"[0.70,0.85)","[14,30)d",1126,189,0.216696269982238,0.15534430998420096,29.95335446251066,0.06981197306179654,1.7182347115780623,0.01580851961227221,1
6,4,"[0.70,0.85)","[30,90)d",2571,193,0.22870478413068845,0.13022547150268532,98.68695300968302,0.335415926780151,1.0617364572101677,0.013731018517698769,3
6,5,"[0.70,0.85)","[90,inf)d",2767,92,0.3346584748825443,0.16072444929053567,62.13625879676711,0.3149057901635318,0.9350122706446808,0.0066579218986270415,3
7,1,"[0.85,0.95)","[3,7)d",280,129,0.20357142857142857,0.15268266264435343,60.68217293056817,0.0,3.23085697062288,0.0058417668022566335,3
7,2,"[0.85,0.95)","[7,14)d",351,105,0.2678062678062678,0.1896551063546712,24.599582688030086,0.2740862763059202,1.7919776281874369,0.002809696200369071,1
7,3,"[0.85,0.95)","[14,30)d",753,110,0.32138114209827356,0.21029467675801916,41.94520837429672,0.2839884430174072,2.260338318430956,0.0054358832662962635,3
7,4,"[0.85,0.95)","[30,90)d",1812,109,0.38576158940397354,0.21192622252982474,17.900284877979686,0.20429069017726276,0.8625411197631652,0.003214591477471945,1
7,5,"[0.85,0.95)","[90,inf)d",1617,42,0.6431663574520717,0.376435598234513,59.362098124149455,0.08818770572079071,0.48085683846067,0.0008541600805566834,2
8,1,"[0.95,1.00)","[3,7)d",289,118,0.6020761245674741,0.3751126436325308,195.22796419159846,0.4951881163608475,12.252004209889256,0.002579163654115901,2
