pi,ti,p_bucket,tau_band,n,n_mkts,still_frac,excess_still,kurt_z,jump_share,ratio_fit,budget_share,regime
0,1,"[0.00,0.05)","[3,7)d",704,285,0.5809659090909091,0.3545458693692649,144.4926050238266,0.08439744975370767,2.142485770218737,0.003381788366360253,2
0,2,"[0.00,0.05)","[7,14)d",1270,372,0.6275590551181103,0.31655430341461765,31.13162983087492,0.3569364026593479,0.9506478621871639,0.0013656005692148237,2
0,3,"[0.00,0.05)","[14,30)d",2430,396,0.6662551440329219,0.26156495341906916,16.761784500987492,0.5802931084419978,1.0702689406836008,0.0015285216678644002,1
0,4,"[0.00,0.05)","[30,90)d",4059,290,0.7270263611727026,0.1959392074660663,15.12165614743034,0.5966037486253031,1.0956926531310371,0.001206566928558437,1
1,1,"[0.05,0.15)","[3,7)d",442,210,0.4683257918552036,0.41320461916871865,14.937128159087859,0.8004280619734443,1.6170588350276862,0.013473354938875881,2
1,2,"[0.05,0.15)","[7,14)d",1080,354,0.5157407407407407,0.43597037186280163,26.553558454094542,0.5691151494285244,1.2146310101190831,0.012061142506007585,2
1,3,"[0.05,0.15)","[14,30)d",2945,487,0.5561969439728354,0.4405465454389803,14.791487686487283,0.677064945357331,1.068104438986419,0.01390012225413513,2
1,4,"[0.05,0.15)","[30,90)d",6410,520,0.5689547581903276,0.3915192493651454,16.89723311216567,0.6533771013968506,1.0953510475037902,0.013189595512365256,2
1,5,"[0.05,0.15)","[90,inf)d",775,82,0.5909677419354838,0.3641346175644929,4.707723460063741,0.6799542732692864,1.0664876023881547,0.0009550868173624419,2
2,1,"[0.15,0.30)","[3,7)d",440,202,0.5681818181818182,0.5386966715968555,7.6387891729785125,0.5602251312891433,0.9397941596711368,0.023436037768435704,2
2,2,"[0.15,0.30)","[7,14)d",1178,377,0.5254668930390493,0.481920084745043,6.077274778378213,0.6461587726424037,1.0455550339720254,0.03289326714069358,2
2,3,"[0.15,0.30)","[14,30)d",2833,527,0.521708436286622,0.4579057381870941,5.166284457265746,0.6913715659681147,0.9931096629443801,0.035639758104884504,2
2,4,"[0.15,0.30)","[30,90)d",9442,746,0.5368565981783521,0.43625722724847765,5.53868156076585,0.6614454269796282,1.0507543235589363,0.05102166451186511,2
2,5,"[0.15,0.30)","[90,inf)d",1520,165,0.5625,0.42879484982936844,4.77107239340518,0.6336105030231357,0.8904503252649978,0.004064689240352214,2
3,1,"[0.30,0.45)","[3,7)d",311,143,0.5144694533762058,0.49178678748008764,2.2311614679816607,0.6397588214147745,0.932608186889008,0.026705823559305293,2
3,2,"[0.30,0.45)","[7,14)d",907,316,0.5292171995589857,0.4951706486864136,4.309768287419277,0.6709567532341101,1.0196457075654117,0.038882796787744284,2
3,3,"[0.30,0.45)","[14,30)d",2458,533,0.514646053702197,0.4655942841471459,4.468830650135162,0.6707600757918789,1.0076268044603054,0.05102582590008345,2
3,4,"[0.30,0.45)","[30,90)d",9452,869,0.5347016504443504,0.4558563402447289,5.521511054425819,0.6571009932191122,1.0994653274309278,0.0840506125781501,2
3,5,"[0.30,0.45)","[90,inf)d",1675,208,0.5402985074626866,0.43472047591942914,5.212585551043436,0.636096397690991,0.9255108467989356,0.007233893847768151,2
4,1,"[0.45,0.55)","[3,7)d",258,120,0.5542635658914729,0.5328271721041784,2.002690015271468,0.7642372895138186,0.9654687824160226,0.025580006258133933,2
4,2,"[0.45,0.55)","[7,14)d",562,246,0.4750889679715303,0.4431357302177359,2.7539539838672065,0.6065668085180089,1.0013015322611034,0.02669613502059258,2
4,3,"[0.45,0.55)","[14,30)d",1581,421,0.528146742567995,0.4820602854700671,3.3424703893210452,0.6464314465532546,0.9724178867441524,0.03568946451769377,2
4,4,"[0.45,0.55)","[30,90)d",6247,796,0.5320954057947815,0.4572791251487415,4.46522922533672,0.6629397378376947,1.0868622645853232,0.06073541514918594,2
4,5,"[0.45,0.55)","[90,inf)d",1009,161,0.5153617443012884,0.41572745391267685,4.147340870479268,0.6365126450161587,0.8952728639098956,0.004711679063174321,2
5,1,"[0.55,0.70)","[3,7)d",354,165,0.5423728813559322,0.519778809839915,2.229879587981218,0.7091598104184873,1.0608581040133245,0.03484977847121954,2
5,2,"[0.55,0.70)","[7,14)d",963,340,0.5015576323987538,0.46796462419308765,4.286357544262031,0.6796307078617041,1.1335332504666853,0.04707029518645929,2
5,3,"[0.55,0.70)","[14,30)d",2759,554,0.5204784342152954,0.4710443578357068,4.539165189482399,0.6733550312263548,1.0070247769012017,0.05644446438006477,2
5,4,"[0.55,0.70)","[30,90)d",9671,861,0.5291076414021301,0.45076304209816737,4.703792036368586,0.6668943957004474,1.054801404312727,0.0835194074942378,2
5,5,"[0.55,0.70)","[90,inf)d",1246,174,0.5481540930979133,0.44297027821573515,4.924321314099933,0.6450285191326766,1.0012051132770234,0.005865746065988594,2
6,1,"[0.70,0.85)","[3,7)d",426,194,0.4812206572769953,0.45133662242040695,6.475498906402711,0.7596619363394287,1.0493163761146658,0.024738507683441976,2
6,2,"[0.70,0.85)","[7,14)d",1132,386,0.5053003533568905,0.4616433052121768,4.211099561853597,0.6953129997519221,0.9982193437727483,0.030099757452614714,2
6,3,"[0.70,0.85)","[14,30)d",3234,569,0.5306122448979592,0.46713623644751745,6.595453210173572,0.6864496229107607,0.9749711425948622,0.04033361463582556,2
6,4,"[0.70,0.85)","[30,90)d",9272,733,0.5463761863675582,0.44714705811910094,7.658129686773149,0.647995125846871,1.0578531750276985,0.05178438500477497,2
6,5,"[0.70,0.85)","[90,inf)d",1234,141,0.5502431118314425,0.4155753383292242,6.898750795172056,0.6398683576919033,1.0342431777996335,0.0037944329735396377,2
7,1,"[0.85,0.95)","[3,7)d",500,238,0.516,0.46232368161647636,20.241594964894944,0.5445664607309992,0.9753420244928643,0.009665379088148076,2
7,2,"[0.85,0.95)","[7,14)d",1088,353,0.5064338235294118,0.4277353550222395,29.702778752709932,0.5795052234543717,1.0568791649178075,0.010803968834444967,2
7,3,"[0.85,0.95)","[14,30)d",2874,500,0.5601948503827419,0.4465833178003574,15.504484626315222,0.638117562805278,1.0236623033191627,0.01346790035393906,2
7,4,"[0.85,0.95)","[30,90)d",5965,486,0.578206202849958,0.40483390731057756,9.132292860577737,0.6698666253116945,0.9810088740219028,0.011427871012128187,2
7,5,"[0.85,0.95)","[90,inf)d",659,66,0.5993930197268589,0.36998843382110547,7.318127662649058,0.7290653905301978,1.011184512948867,0.0007500587341650665,2
8,1,"[0.95,1.00)","[3,7)d",629,285,0.5453100158982512,0.31041432479839925,91.4819278456531,0.10466456530232482,1.5974709767469402,0.002121683267357405,2
8,2,"[0.95,1.00)","[7,14)d",1276,378,0.6050156739811913,0.28604446799933386,30.974099403330086,0.6540456716533722,1.238368890116299,0.0016743903336266222,3
8,3,"[0.95,1.00)","[14,30)d",2519,367,0.6732830488289003,0.2625403605875721,19.608324831142557,0.636215493368934,0.910845833518866,0.0013064496608751512,1
8,4,"[0.95,1.00)","[30,90)d",3453,259,0.7347234289024037,0.2022953291121754,15.386484755170887,0.6430084614350008,0.9194999058049665,0.0008530603583414415,1
